	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
ASTE1-1	ASTE1	1651.667	0.054	0.360	0.151	0.319	5.000
PKP1-1	PKP1	1651.333	0.186	0.360	0.518	0.400	5.000
chr9_8	chr9_8	1650.333	0.077	0.360	0.215	0.000	1.000
NELL1-3	NELL1	1650.333	0.065	0.360	0.180	0.301	5.000
NCK2-2	NCK2	1650.000	0.072	0.360	0.201	0.083	5.000
HS3ST4-4	HS3ST4	1649.667	-0.071	0.360	-0.198	0.356	5.000
TOM1L2-4	TOM1L2	1649.333	-0.062	0.360	-0.174	0.167	5.000
C2orf16-5	C2orf16	1648.667	-0.064	0.360	-0.179	0.159	5.000
KIAA1671-3	KIAA1671	1648.333	-0.172	0.360	-0.477	0.344	5.000
PRR15-1	PRR15	1648.000	-0.075	0.360	-0.209	0.502	5.000
TCF19-1	TCF19	1646.000	0.154	0.360	0.428	0.255	5.000
INO80C-2	INO80C	1645.667	-0.673	0.360	-1.873	0.494	5.000
HPN-4	HPN	1645.333	0.098	0.360	0.274	0.473	5.000
ARID3A-2	ARID3A	1645.333	0.145	0.360	0.402	0.386	5.000
LFNG-4	LFNG	1645.333	0.076	0.360	0.212	0.294	5.000
NEUROD2-2	NEUROD2	1645.000	-0.341	0.360	-0.949	0.520	5.000
CEP78-4	CEP78	1644.667	-0.184	0.360	-0.511	0.301	5.000
GABRB1-1	GABRB1	1644.000	-0.070	0.360	-0.196	0.116	5.000
MANSC1-2	MANSC1	1643.667	0.198	0.360	0.550	0.400	5.000
IGSF22-1	IGSF22	1643.333	-0.111	0.360	-0.310	0.423	5.000
DRD2-5	DRD2	1642.667	0.050	0.360	0.139	0.245	5.000
LRRN1-4	LRRN1	1641.667	0.072	0.360	0.199	0.177	5.000
KCNK17-4	KCNK17	1641.667	0.062	0.360	0.173	0.634	5.000
TYMSOS-2	TYMSOS	1641.333	-0.029	0.360	-0.080	0.263	5.000
LFNG-5	LFNG	1640.333	0.086	0.360	0.238	0.294	5.000
CEMP1-3	CEMP1	1640.000	-0.115	0.360	-0.321	0.423	5.000
GGA2-1	GGA2	1639.667	0.251	0.360	0.699	0.253	5.000
PCTP-4	PCTP	1639.000	0.089	0.360	0.247	0.227	5.000
SHF-5	SHF	1638.667	-0.059	0.360	-0.165	0.306	5.000
TTLL2-5	TTLL2	1638.667	0.105	0.360	0.293	0.215	5.000
CYP4F8-1	CYP4F8	1637.333	0.119	0.360	0.331	0.241	5.000
CDRT4-1	CDRT4	1635.000	0.005	0.360	0.014	0.173	5.000
CDKN1A-5	CDKN1A	1635.000	0.320	0.360	0.890	0.464	5.000
HEG1-3	HEG1	1633.333	-0.208	0.360	-0.579	0.382	5.000
SERINC1-2	SERINC1	1633.000	0.067	0.360	0.185	0.189	5.000
ATP5L-5	ATP5L	1632.667	-1.034	0.360	-2.875	0.745	5.000
HIST1H2AE-5	HIST1H2AE	1628.333	-0.160	0.360	-0.445	0.228	5.000
C1QL4-3	C1QL4	1628.000	0.099	0.360	0.275	0.171	5.000
NMUR2-3	NMUR2	1627.667	0.035	0.360	0.097	0.276	5.000
FAM217A-2	FAM217A	1627.333	0.058	0.360	0.161	0.218	5.000
TTC33-2	TTC33	1626.333	-0.011	0.360	-0.031	0.188	5.000
HIST1H2BH-5	HIST1H2BH	1626.333	-0.395	0.360	-1.097	0.404	5.000
DYNLRB1-5	DYNLRB1	1625.667	-2.337	0.360	-6.500	2.289	5.000
PANO1-4	PANO1	1625.667	0.021	0.360	0.059	0.233	5.000
SMAD2-3	SMAD2	1625.333	0.263	0.360	0.731	0.154	5.000
LMOD3-1	LMOD3	1625.333	0.159	0.360	0.442	0.190	5.000
AXIN2-2	AXIN2	1625.333	0.152	0.360	0.423	0.426	5.000
MTERF1-4	MTERF1	1625.000	0.168	0.360	0.468	0.327	5.000
MYOM2-5	MYOM2	1625.000	0.110	0.360	0.305	0.249	5.000
FAM124B-4	FAM124B	1624.667	-0.164	0.360	-0.455	0.188	5.000
GNA11-5	GNA11	1624.333	0.126	0.360	0.351	0.656	5.000
OR8S1-5	OR8S1	1622.333	-0.019	0.360	-0.053	0.431	5.000
ZNF345-1	ZNF345	1622.000	0.194	0.360	0.541	0.547	5.000
PPP1R3D-1	PPP1R3D	1620.667	0.030	0.360	0.085	0.179	5.000
MSH6-2	MSH6	1620.333	0.065	0.360	0.180	0.190	5.000
TMPRSS13-2	TMPRSS13	1620.333	0.160	0.360	0.446	0.280	5.000
STRN3-4	STRN3	1620.333	0.083	0.360	0.231	0.463	5.000
HS3ST4-3	HS3ST4	1620.333	0.080	0.360	0.222	0.356	5.000
TRPM5-3	TRPM5	1620.000	0.032	0.360	0.089	0.235	5.000
DMRTC1B-2	DMRTC1B	1619.667	-0.042	0.360	-0.117	0.122	5.000
MSH6-1	MSH6	1618.333	-0.011	0.360	-0.031	0.190	5.000
MOGAT2-5	MOGAT2	1618.000	-0.085	0.360	-0.235	0.248	5.000
LY6G5C-4	LY6G5C	1618.000	0.001	0.360	0.004	0.260	5.000
CYP2U1-5	CYP2U1	1616.333	-0.043	0.360	-0.121	0.110	5.000
ARFGAP3-4	ARFGAP3	1616.000	-0.248	0.360	-0.690	0.341	5.000
USP18-4	USP18	1616.000	-0.165	0.360	-0.458	0.849	5.000
SLC39A5-4	SLC39A5	1615.667	0.014	0.360	0.039	0.255	5.000
GGA2-3	GGA2	1615.667	-0.026	0.360	-0.073	0.253	5.000
LCE6A-1	LCE6A	1615.333	0.221	0.360	0.616	0.448	5.000
TGIF2-5	TGIF2	1615.333	-0.158	0.360	-0.439	0.368	5.000
NMUR2-5	NMUR2	1615.333	-0.153	0.360	-0.424	0.276	5.000
MUS81-3	MUS81	1615.000	-0.750	0.360	-2.086	0.443	5.000
PRSS23-2	PRSS23	1615.000	-0.084	0.360	-0.234	0.218	5.000
ELN-3	ELN	1614.667	-0.026	0.360	-0.072	0.197	5.000
FBN3-2	FBN3	1614.667	-0.096	0.360	-0.267	0.190	5.000
PRR11-3	PRR11	1614.000	-0.064	0.360	-0.177	0.130	5.000
PLA2G2A-4	PLA2G2A	1614.000	-0.093	0.360	-0.259	0.239	5.000
ZFAND2A-3	ZFAND2A	1612.667	-0.022	0.360	-0.062	0.446	5.000
GMCL1-4	GMCL1	1611.667	0.115	0.360	0.321	0.305	5.000
PRPS2-2	PRPS2	1611.000	-0.032	0.360	-0.088	0.284	5.000
chrX_8	chrX_8	1611.000	0.051	0.360	0.142	0.000	1.000
RPL34-2	RPL34	1611.000	0.131	0.360	0.364	0.866	5.000
ZNF341-3	ZNF341	1610.667	-0.176	0.360	-0.490	0.418	5.000
EGF-3	EGF	1610.333	0.118	0.360	0.327	0.301	5.000
DRD2-4	DRD2	1607.667	0.169	0.360	0.471	0.245	5.000
MFHAS1-1	MFHAS1	1607.333	0.323	0.360	0.899	0.873	5.000
NCKIPSD-3	NCKIPSD	1604.000	0.099	0.360	0.277	0.388	5.000
EP300-5	EP300	1603.000	0.752	0.360	2.093	0.496	5.000
RGMA-4	RGMA	1603.000	0.096	0.360	0.268	0.149	5.000
chr17_7	chr17_7	1601.333	0.040	0.360	0.112	0.000	1.000
ASTE1-3	ASTE1	1600.333	-0.123	0.360	-0.343	0.319	5.000
MLXIPL-2	MLXIPL	1600.000	-0.050	0.360	-0.140	0.240	5.000
SHC2-5	SHC2	1600.000	0.057	0.360	0.158	0.393	5.000
PCGF1-1	PCGF1	1599.333	-0.189	0.360	-0.526	0.221	5.000
chr16_3	chr16_3	1599.333	0.197	0.360	0.549	0.000	1.000
CRHR2-1	CRHR2	1598.333	-0.100	0.360	-0.278	0.083	5.000
KHDRBS3-5	KHDRBS3	1597.667	0.031	0.360	0.086	0.068	5.000
NR0B2-1	NR0B2	1597.667	0.026	0.360	0.072	0.341	5.000
SFMBT1-3	SFMBT1	1597.000	0.190	0.360	0.529	0.177	5.000
TK2-2	TK2	1596.000	0.133	0.360	0.371	0.284	5.000
PCGF1-4	PCGF1	1595.667	-0.038	0.360	-0.106	0.221	5.000
AKAP2-5	AKAP2	1595.000	0.206	0.360	0.573	0.547	5.000
LYPD5-1	LYPD5	1594.333	0.076	0.360	0.212	0.176	5.000
ZNF223-4	ZNF223	1593.333	-0.073	0.360	-0.203	0.224	5.000
GLYATL1-4	GLYATL1	1593.333	0.095	0.360	0.265	0.186	5.000
FOXO1-5	FOXO1	1593.000	0.006	0.360	0.018	0.166	5.000
F10-4	F10	1592.667	-0.031	0.360	-0.086	0.175	5.000
CEND1-4	CEND1	1592.000	-0.102	0.360	-0.283	1.040	5.000
RIT1-5	RIT1	1591.667	0.095	0.360	0.265	0.290	5.000
LIPG-4	LIPG	1591.333	0.093	0.360	0.260	0.178	5.000
chr12_2	chr12_2	1591.000	0.068	0.360	0.190	0.000	1.000
IRF2BPL-2	IRF2BPL	1590.667	-0.019	0.360	-0.052	0.426	5.000
ALDH1A3-3	ALDH1A3	1589.333	0.060	0.360	0.166	0.182	5.000
GABRA2-1	GABRA2	1589.000	0.018	0.360	0.050	0.439	5.000
ZNF345-3	ZNF345	1588.667	-0.035	0.360	-0.096	0.547	5.000
FAM217A-3	FAM217A	1587.333	-0.068	0.372	-0.182	0.218	5.000
COL4A1-3	COL4A1	1587.333	-0.213	0.372	-0.572	0.475	5.000
PRSS23-4	PRSS23	1587.333	-0.087	0.372	-0.234	0.218	5.000
MYOM2-4	MYOM2	1586.000	-0.054	0.372	-0.144	0.249	5.000
CUEDC1-4	CUEDC1	1586.000	-0.041	0.372	-0.112	0.540	5.000
OIT3-3	OIT3	1585.667	0.092	0.372	0.246	0.146	5.000
TSPAN6-5	TSPAN6	1585.333	0.058	0.372	0.156	0.167	5.000
ERCC1-3	ERCC1	1585.333	-1.190	0.372	-3.201	3.833	5.000
ZSWIM3-1	ZSWIM3	1584.333	0.065	0.372	0.175	0.138	5.000
SLC51B-5	SLC51B	1583.667	0.215	0.372	0.579	0.175	5.000
SLC38A5-2	SLC38A5	1583.000	-0.247	0.372	-0.665	0.320	5.000
MROH2B-5	MROH2B	1582.333	-0.233	0.372	-0.626	0.303	5.000
VNN2-5	VNN2	1581.333	0.194	0.372	0.521	0.399	5.000
FBLN2-3	FBLN2	1581.333	0.211	0.372	0.569	0.291	5.000
chr10_8	chr10_8	1581.333	0.206	0.372	0.554	0.000	1.000
SCCPDH-4	SCCPDH	1580.667	0.073	0.372	0.198	0.114	5.000
NEURL1-3	NEURL1	1580.333	0.129	0.372	0.348	0.260	5.000
LMO4-1	LMO4	1580.000	0.045	0.372	0.122	0.176	5.000
FCN2-1	FCN2	1577.000	-0.134	0.372	-0.359	0.459	5.000
CXCL5-2	CXCL5	1576.333	-0.070	0.372	-0.189	0.138	4.000
SPIN3-5	SPIN3	1575.333	0.154	0.372	0.414	0.208	5.000
chr8_4	chr8_4	1574.667	0.219	0.372	0.588	0.000	1.000
BMP7-3	BMP7	1574.000	-0.046	0.372	-0.124	0.128	5.000
CDX1-2	CDX1	1573.333	0.018	0.372	0.049	0.075	5.000
CDHR5-5	CDHR5	1573.000	0.079	0.372	0.212	0.294	5.000
ATF6B-4	ATF6B	1571.000	0.048	0.374	0.128	0.124	5.000
SWT1-1	SWT1	1570.667	0.046	0.374	0.124	0.331	5.000
LYPD5-2	LYPD5	1570.333	-0.060	0.374	-0.160	0.176	5.000
LYPD5-3	LYPD5	1570.333	-0.037	0.374	-0.099	0.176	5.000
CPT2-4	CPT2	1569.667	-0.062	0.374	-0.165	0.129	5.000
GABRB1-2	GABRB1	1569.333	-0.110	0.374	-0.295	0.116	5.000
PNMA1-3	PNMA1	1569.333	-0.097	0.374	-0.261	0.394	5.000
APITD1-2	APITD1	1569.000	-0.711	0.374	-1.903	0.297	5.000
SLC25A22-5	SLC25A22	1568.667	-0.450	0.374	-1.205	0.235	5.000
HDAC5-3	HDAC5	1568.667	-0.059	0.374	-0.159	0.216	5.000
chr1_2	chr1_2	1568.667	-0.013	0.374	-0.034	0.000	1.000
chr17_6	chr17_6	1568.667	-0.363	0.374	-0.971	0.000	1.000
FOXO1-2	FOXO1	1568.333	-0.010	0.374	-0.028	0.166	5.000
KIAA0825-1	KIAA0825	1567.667	0.014	0.374	0.038	0.217	5.000
EPN3-4	EPN3	1566.333	-0.024	0.374	-0.064	0.248	5.000
SYTL4-1	SYTL4	1565.667	0.154	0.374	0.412	0.393	5.000
chr16_1	chr16_1	1565.333	-0.009	0.374	-0.023	0.000	1.000
CYP2U1-4	CYP2U1	1565.333	-0.099	0.374	-0.265	0.110	5.000
FGF20-5	FGF20	1565.333	-0.105	0.374	-0.282	0.260	5.000
ZBTB18-3	ZBTB18	1565.000	-0.145	0.374	-0.388	0.315	5.000
LYPD8-4	LYPD8	1564.667	0.048	0.374	0.128	0.416	5.000
TNFSF9-4	TNFSF9	1563.667	-0.061	0.374	-0.164	0.409	5.000
GTPBP10-3	GTPBP10	1563.000	-0.232	0.374	-0.620	1.252	5.000
MSH4-1	MSH4	1562.667	0.257	0.374	0.689	0.272	5.000
PCMT1-1	PCMT1	1562.333	-0.132	0.374	-0.353	0.469	5.000
AADAT-2	AADAT	1561.667	0.017	0.377	0.046	0.173	5.000
CDHR5-1	CDHR5	1561.333	0.117	0.377	0.310	0.294	5.000
GTPBP10-1	GTPBP10	1561.000	-0.581	0.377	-1.539	1.252	5.000
CCL8-1	CCL8	1560.000	-0.138	0.377	-0.366	0.262	5.000
chr3_11	chr3_11	1560.000	0.100	0.377	0.265	0.000	1.000
FEN1-1	FEN1	1558.667	-3.640	0.377	-9.647	3.414	5.000
EXO1-4	EXO1	1558.667	-1.535	0.377	-4.069	1.290	5.000
CYP2U1-2	CYP2U1	1558.333	-0.137	0.377	-0.362	0.110	5.000
MYOM2-2	MYOM2	1558.000	0.097	0.377	0.258	0.249	5.000
MUS81-4	MUS81	1558.000	-0.636	0.377	-1.685	0.443	5.000
RBPJL-5	RBPJL	1558.000	0.059	0.377	0.157	0.407	5.000
SLAMF1-2	SLAMF1	1557.667	0.191	0.377	0.507	0.136	5.000
COPA-5	COPA	1557.667	-0.179	0.377	-0.473	0.446	5.000
APOL1-2	APOL1	1557.333	-0.132	0.377	-0.349	0.396	5.000
TPO-4	TPO	1557.333	-0.070	0.377	-0.187	0.208	5.000
RYK-2	RYK	1557.000	0.075	0.377	0.198	0.425	5.000
YIPF4-2	YIPF4	1557.000	-0.117	0.377	-0.309	0.244	5.000
ASTE1-2	ASTE1	1557.000	-0.008	0.377	-0.021	0.319	5.000
CTSS-4	CTSS	1556.667	0.191	0.377	0.505	0.166	5.000
KRT40-4	KRT40	1556.333	-0.074	0.377	-0.197	0.177	5.000
TCF19-4	TCF19	1556.000	0.103	0.377	0.273	0.255	5.000
QPCT-4	QPCT	1555.667	0.024	0.377	0.063	0.335	5.000
SDR42E1-5	SDR42E1	1555.333	0.195	0.377	0.517	0.155	5.000
TMPRSS12-3	TMPRSS12	1555.000	0.188	0.377	0.498	0.186	5.000
PRPS2-1	PRPS2	1553.333	0.018	0.377	0.046	0.284	5.000
EYA1-1	EYA1	1553.333	-0.040	0.383	-0.105	0.224	5.000
TOM1L2-5	TOM1L2	1553.000	0.023	0.383	0.059	0.167	5.000
chr4_1	chr4_1	1552.333	-0.001	0.383	-0.003	0.000	1.000
chr11_2	chr11_2	1551.667	-0.039	0.383	-0.102	0.000	1.000
EGF-4	EGF	1551.333	0.153	0.383	0.400	0.301	5.000
HMGB3-1	HMGB3	1549.667	0.196	0.383	0.513	0.440	5.000
NUP93-3	NUP93	1549.667	-1.650	0.383	-4.307	1.278	5.000
PSMB3-2	PSMB3	1549.333	-0.155	0.383	-0.404	0.607	5.000
WIPF1-5	WIPF1	1549.000	-0.038	0.383	-0.099	0.134	5.000
DPY19L2-2	DPY19L2	1548.667	-0.151	0.383	-0.394	0.316	5.000
MOGAT1-1	MOGAT1	1548.000	-0.203	0.383	-0.530	0.327	5.000
ZNF736-2	ZNF736	1545.667	-0.162	0.383	-0.422	0.360	5.000
LYZL1-4	LYZL1	1545.667	-0.274	0.383	-0.716	0.337	5.000
ST6GAL2-3	ST6GAL2	1545.333	0.096	0.383	0.252	0.136	5.000
SYTL4-4	SYTL4	1545.333	0.313	0.383	0.817	0.393	5.000
MOGAT2-3	MOGAT2	1544.667	0.043	0.383	0.114	0.248	5.000
MOGAT2-4	MOGAT2	1544.667	0.070	0.383	0.183	0.248	5.000
chr10_6	chr10_6	1544.333	0.080	0.383	0.208	0.000	1.000
CEP68-5	CEP68	1544.333	0.266	0.383	0.696	0.531	5.000
GGA3-5	GGA3	1544.000	0.084	0.383	0.218	0.258	5.000
OIT3-2	OIT3	1543.667	-0.016	0.383	-0.041	0.146	5.000
MUS81-2	MUS81	1543.333	-0.932	0.383	-2.432	0.443	5.000
CDRT4-5	CDRT4	1542.000	-0.095	0.383	-0.247	0.173	5.000
C10orf82-4	C10orf82	1541.000	0.037	0.383	0.096	0.230	5.000
COL4A1-2	COL4A1	1540.667	-0.001	0.383	-0.002	0.475	5.000
PRSS23-3	PRSS23	1540.000	0.025	0.383	0.065	0.218	5.000
MCRIP2-1	MCRIP2	1539.333	-0.559	0.383	-1.459	0.555	5.000
TMEM159-1	TMEM159	1539.000	0.048	0.383	0.127	0.346	5.000
BMP3-3	BMP3	1538.000	0.024	0.383	0.061	0.172	5.000
SESN1-5	SESN1	1538.000	-0.048	0.383	-0.124	0.517	5.000
chr20_8	chr20_8	1537.667	-0.047	0.383	-0.123	0.000	1.000
TMEM198-5	TMEM198	1537.333	0.067	0.383	0.174	0.553	5.000
F10-3	F10	1537.333	0.105	0.383	0.273	0.175	5.000
LY6G5C-3	LY6G5C	1536.667	0.109	0.383	0.284	0.260	5.000
CKM-1	CKM	1536.667	-0.013	0.383	-0.034	0.338	5.000
TRABD-2	TRABD	1536.333	-0.124	0.383	-0.324	0.235	5.000
HSFY1-4	HSFY1	1536.333	0.205	0.383	0.536	0.221	5.000
PMS2-4	PMS2	1535.333	0.063	0.383	0.165	0.491	5.000
SHCBP1L-4	SHCBP1L	1534.333	0.158	0.383	0.411	0.223	5.000
NEU4-1	NEU4	1534.333	-0.029	0.383	-0.077	0.261	5.000
SLC38A4-4	SLC38A4	1533.333	0.277	0.383	0.724	0.298	5.000
chr20_2	chr20_2	1532.333	-0.079	0.383	-0.205	0.000	1.000
OR2A14-5	OR2A14	1531.667	-0.197	0.383	-0.514	0.271	5.000
KCNK17-2	KCNK17	1531.667	0.154	0.383	0.403	0.634	5.000
PRR15-5	PRR15	1531.000	-0.479	0.383	-1.250	0.502	5.000
MRAP2-5	MRAP2	1531.000	0.017	0.383	0.044	0.333	5.000
KRT23-2	KRT23	1530.667	0.375	0.383	0.979	0.766	5.000
chr14_1	chr14_1	1530.000	0.037	0.383	0.096	0.000	1.000
chr18_8	chr18_8	1526.333	0.212	0.383	0.553	0.000	1.000
PRRT3-3	PRRT3	1525.333	-0.238	0.383	-0.621	0.449	5.000
KCNK5-4	KCNK5	1525.333	-0.395	0.383	-1.032	0.475	5.000
HPRT1-2	HPRT1	1525.000	0.007	0.383	0.019	0.323	5.000
PLEKHN1-2	PLEKHN1	1524.667	0.232	0.383	0.606	0.577	5.000
PHF19-5	PHF19	1524.333	-0.347	0.383	-0.906	0.257	5.000
DRD2-2	DRD2	1522.000	-0.085	0.383	-0.222	0.245	5.000
GPR87-3	GPR87	1521.333	-0.121	0.383	-0.315	0.259	5.000
FAHD2B-2	FAHD2B	1521.333	0.256	0.383	0.669	0.335	5.000
NCKIPSD-4	NCKIPSD	1521.000	0.262	0.383	0.684	0.388	5.000
APOL1-3	APOL1	1520.667	0.309	0.383	0.807	0.396	5.000
INVS-2	INVS	1520.000	-0.136	0.383	-0.355	0.160	5.000
CCDC97-3	CCDC97	1519.333	0.077	0.383	0.200	0.214	5.000
EYA1-3	EYA1	1519.000	-0.003	0.383	-0.007	0.224	5.000
TTLL2-4	TTLL2	1517.667	0.168	0.383	0.439	0.215	5.000
chr7_8	chr7_8	1517.000	0.139	0.383	0.362	0.000	1.000
ETNK1-2	ETNK1	1516.333	-0.167	0.383	-0.435	0.332	5.000
chr1_7	chr1_7	1516.333	0.067	0.383	0.174	0.000	1.000
QPCT-2	QPCT	1515.667	0.258	0.383	0.674	0.335	5.000
MAD2L1BP-5	MAD2L1BP	1515.333	0.089	0.383	0.233	0.492	5.000
ZNF345-2	ZNF345	1515.000	-0.272	0.383	-0.710	0.547	5.000
MSH5-1	MSH5	1514.000	-0.192	0.383	-0.502	0.442	5.000
OIT3-1	OIT3	1513.333	-0.038	0.383	-0.100	0.146	5.000
PLCB2-3	PLCB2	1512.000	0.100	0.383	0.261	0.200	5.000
TTLL2-3	TTLL2	1511.333	-0.002	0.383	-0.004	0.215	5.000
CEACAM3-2	CEACAM3	1510.667	-0.021	0.383	-0.056	0.211	5.000
HPN-3	HPN	1510.000	0.045	0.383	0.117	0.473	5.000
SSR2-2	SSR2	1510.000	-1.175	0.398	-2.948	1.072	5.000
OGFOD1-1	OGFOD1	1508.667	0.157	0.398	0.394	0.355	5.000
LIG1-1	LIG1	1508.667	0.194	0.398	0.487	0.538	5.000
IGSF22-5	IGSF22	1507.000	0.041	0.398	0.102	0.423	5.000
UCN2-2	UCN2	1507.000	0.261	0.398	0.655	0.246	5.000
chr18_9	chr18_9	1506.667	0.136	0.398	0.341	0.000	1.000
SCCPDH-2	SCCPDH	1506.333	0.044	0.398	0.111	0.114	5.000
TK2-5	TK2	1506.000	0.118	0.398	0.296	0.284	5.000
LMNA-3	LMNA	1506.000	-0.444	0.398	-1.115	0.400	5.000
ZNF692-1	ZNF692	1505.667	0.000	0.398	0.000	0.396	5.000
TMEM198-1	TMEM198	1505.667	0.071	0.398	0.179	0.553	5.000
LMO4-4	LMO4	1505.667	0.200	0.398	0.502	0.176	5.000
TTC33-4	TTC33	1505.000	-0.209	0.398	-0.526	0.188	5.000
SYNGR2-1	SYNGR2	1504.333	0.155	0.398	0.390	0.170	5.000
SSR2-4	SSR2	1503.667	-0.126	0.398	-0.315	1.072	5.000
KRT23-4	KRT23	1503.333	0.274	0.398	0.687	0.766	5.000
TNNC2-5	TNNC2	1503.333	-0.122	0.398	-0.305	0.489	5.000
CTSS-5	CTSS	1503.000	0.289	0.398	0.725	0.166	5.000
DMRTC1B-1	DMRTC1B	1502.333	-0.046	0.398	-0.116	0.122	5.000
CEMP1-2	CEMP1	1501.667	-0.169	0.398	-0.423	0.423	5.000
FAHD2B-4	FAHD2B	1501.667	0.087	0.398	0.220	0.335	5.000
LGR5-1	LGR5	1501.333	0.097	0.398	0.244	0.301	5.000
KRT40-5	KRT40	1500.333	-0.064	0.398	-0.162	0.177	5.000
KIAA1549L-3	KIAA1549L	1499.667	-0.129	0.398	-0.324	0.212	5.000
CKM-4	CKM	1499.667	-0.094	0.398	-0.235	0.338	5.000
ALS2CL-4	ALS2CL	1499.667	0.134	0.398	0.337	0.175	5.000
APITD1-4	APITD1	1498.333	-0.887	0.398	-2.225	0.297	5.000
ALDH1A3-1	ALDH1A3	1498.000	0.047	0.398	0.118	0.182	5.000
CDCA7L-5	CDCA7L	1497.667	-0.054	0.398	-0.134	0.224	5.000
SDCCAG3-4	SDCCAG3	1497.000	-0.228	0.398	-0.573	0.140	5.000
TSPAN6-4	TSPAN6	1497.000	0.053	0.398	0.132	0.167	5.000
HIST4H4-2	HIST4H4	1496.667	-0.339	0.398	-0.850	0.665	5.000
NME5-2	NME5	1496.667	0.130	0.398	0.327	0.239	5.000
HEXA-4	HEXA	1496.667	-0.029	0.398	-0.074	0.241	5.000
ALKBH6-4	ALKBH6	1496.333	-0.016	0.398	-0.040	0.180	5.000
EP300-1	EP300	1496.000	0.867	0.398	2.175	0.496	5.000
SLAMF1-1	SLAMF1	1495.667	0.039	0.398	0.098	0.136	5.000
GGA2-5	GGA2	1495.333	0.078	0.398	0.195	0.253	5.000
KIAA1671-2	KIAA1671	1495.333	0.060	0.398	0.152	0.344	5.000
chr10_2	chr10_2	1495.333	0.031	0.398	0.077	0.000	1.000
chrX_5	chrX_5	1494.667	0.125	0.398	0.315	0.000	1.000
BMP10-2	BMP10	1494.333	-0.075	0.398	-0.187	0.192	5.000
RAB2B-2	RAB2B	1494.000	0.138	0.398	0.345	0.176	5.000
DMC1-5	DMC1	1494.000	-0.194	0.398	-0.488	0.344	5.000
chr3_1	chr3_1	1493.667	-0.170	0.398	-0.427	0.000	1.000
NEDD4-4	NEDD4	1493.667	0.071	0.398	0.177	0.245	5.000
COL4A1-4	COL4A1	1493.000	0.264	0.398	0.662	0.475	5.000
MSANTD4-3	MSANTD4	1492.667	-0.013	0.398	-0.032	0.670	5.000
FAM71E1-4	FAM71E1	1492.000	-0.117	0.398	-0.293	0.341	5.000
HOXB8-5	HOXB8	1491.667	-0.380	0.398	-0.953	0.262	5.000
chr8_3	chr8_3	1491.667	0.033	0.410	0.081	0.000	1.000
MSH3-2	MSH3	1491.000	-0.101	0.410	-0.247	0.111	5.000
IQSEC3-4	IQSEC3	1491.000	-0.054	0.410	-0.133	0.114	5.000
CC2D2B-5	CC2D2B	1490.667	-0.080	0.410	-0.194	0.311	5.000
TMEM38B-5	TMEM38B	1489.667	-0.231	0.410	-0.563	0.279	5.000
HDHD3-4	HDHD3	1489.667	-0.282	0.410	-0.687	0.479	5.000
PRR11-4	PRR11	1488.667	-0.046	0.410	-0.112	0.130	5.000
SLC38A5-5	SLC38A5	1488.333	-0.271	0.410	-0.660	0.320	5.000
DENND6A-1	DENND6A	1486.333	0.206	0.410	0.502	0.035	4.000
POLH-5	POLH	1485.667	0.199	0.410	0.485	0.140	5.000
EYA1-4	EYA1	1485.333	0.140	0.410	0.341	0.224	5.000
SERINC1-5	SERINC1	1485.333	0.091	0.410	0.222	0.189	5.000
PHC3-4	PHC3	1485.333	0.201	0.410	0.491	0.177	5.000
LYPD8-2	LYPD8	1482.667	0.008	0.410	0.020	0.416	5.000
ZNF485-5	ZNF485	1481.000	0.207	0.410	0.504	0.558	5.000
chr13_5	chr13_5	1481.000	0.055	0.410	0.134	0.000	1.000
SS18-5	SS18	1480.333	0.332	0.410	0.810	0.449	5.000
MSH3-4	MSH3	1480.333	-0.092	0.410	-0.224	0.111	5.000
PCDHGA9-1	PCDHGA9	1479.333	-0.069	0.410	-0.168	0.293	5.000
CLU-1	CLU	1479.333	-0.065	0.410	-0.159	0.291	5.000
chrX_10	chrX_10	1479.333	0.103	0.410	0.250	0.000	1.000
ELP4-2	ELP4	1479.333	-0.399	0.410	-0.973	0.457	5.000
NT5C3B-4	NT5C3B	1476.000	-0.028	0.410	-0.068	0.478	5.000
SYTL4-5	SYTL4	1476.000	0.095	0.410	0.232	0.393	5.000
CDHR5-3	CDHR5	1475.667	-0.008	0.410	-0.018	0.294	5.000
PRRC2A-4	PRRC2A	1475.333	0.406	0.410	0.990	0.706	5.000
CEND1-1	CEND1	1474.333	0.084	0.410	0.204	1.040	5.000
C2orf16-2	C2orf16	1474.000	0.022	0.410	0.054	0.159	5.000
MAD2L1BP-2	MAD2L1BP	1474.000	-0.063	0.410	-0.153	0.492	5.000
ARFGAP3-1	ARFGAP3	1474.000	0.017	0.410	0.043	0.341	5.000
TCF19-5	TCF19	1473.333	0.071	0.410	0.173	0.255	5.000
LOC643355-4	LOC643355	1473.000	-0.025	0.410	-0.062	0.296	5.000
chr3_2	chr3_2	1473.000	0.220	0.410	0.537	0.000	1.000
EIF2AK1-2	EIF2AK1	1470.667	0.213	0.410	0.518	0.374	5.000
MORN4-3	MORN4	1470.000	0.153	0.410	0.374	0.158	5.000
chrX_4	chrX_4	1468.333	0.039	0.410	0.094	0.000	1.000
CPNE9-5	CPNE9	1468.000	-0.157	0.410	-0.384	0.335	5.000
